time	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
0.0.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0.3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0.6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0.8999999999999999.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0.2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0.5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0.7999999999999998.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.0.1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.0.4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.0.6999999999999997.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.0.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.0.3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.0.5999999999999996.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.0.9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.0.2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.0.5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.0.8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.0.1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.0.3999999999999995.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.0.7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.0.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.0.3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.0.6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.0.8999999999999995.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.0.199999999999999.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.0.5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.0.8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.0.1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.0.4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.0.7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.0.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.0.299999999999999.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.0.6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.0.9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.0.2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.0.5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.0.799999999999999.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.0.1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.0.4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.0.7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.0.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.0.299999999999999.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.0.6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
