time	Tstar	V	Vin	Vni
0.0.	15061.32075	1860000.0	1860000.0	0.0
0.0.08.0	15011.958212630372	1859672.3179190962	1577397.7373834448	282274.5805356513
0.0.16.0	14877.14630138988	1857615.8741259673	1337733.1302902156	519882.7438357522
0.0.24.0	14673.72658367761	1852656.9580593451	1134482.372748632	718174.585310713
0.0.32.0	14415.821586283995	1844089.2740279066	962112.8646175123	881976.409410395
0.0.4.0	14115.25456820028	1831556.0598074605	815932.6107639846	1015623.4490434766
0.0.48.0	13781.905237695199	1814957.358351879	691962.502312864	1122994.8560390153
0.0.56.0	13424.011158309253	1794377.5152960957	586828.0030611261	1207549.51223497
0.0.64.0	13048.423106596965	1770028.8919234178	497667.29270108195	1272361.5992223367
0.0.72.0	12660.821388565018	1742208.5351951383	422053.3664591086	1320155.1687360299
0.0.8.0	12265.899056704935	1711265.16244527	357927.9706582159	1353337.1917870534
0.0.88.0	11867.517066307268	1677574.3223720482	303545.575893235	1374028.746478812
0.0.96.0	11468.83564378156	1641520.0058171218	257425.86273689047	1384094.14308023
1.0.04.0	11072.425490137546	1603481.3158859059	218313.4266109041	1385167.889275
1.0.12.0	10680.361891924045	1563823.0807536347	185143.60496601558	1378679.4757876163
1.0.2.0	10294.30434477385	1522889.5151862472	157013.4965675077	1365876.0186187369
1.0.28.0	9915.563898546186	1481000.2175931444	133157.38401485718	1347842.8335782846
1.0.36.0	9545.160097106822	1438447.9359109912	112925.8904826489	1325522.0454283403
1.0.44.0	9183.869100890837	1395497.6540455683	95768.30331749655	1299729.3507280697
1.0.52.0	8832.264338797217	1352386.6461158537	81217.58332931844	1271169.0627865333
1.0.6.0	8490.750831088144	1309325.2225793726	68877.65172142987	1240447.5708579412
1.0.68.0	8159.594151229696	1266497.9539426642	58412.60860252689	1208085.345340136
1.0.76.0	7838.9448472827	1224065.2070239242	49537.58960238208	1174527.6174215402
1.0.84.0	7528.859018520141	1182164.867970463	42011.01170318006	1140153.856267281
1.0.92.0	7229.315637007235	1140914.157351676	35627.99721365255	1105286.1601380217
2.0.	6940.231114046379	1100411.467209886	30214.79688288365	1070196.6703270006
2.0.08.0	6661.471535213885	1060738.1692308628	25624.060347800896	1035114.1088830603
2.0.16.0	6392.862923123154	1021960.3582313249	21730.825173267833	1000229.5330580557
2.0.24.0	6134.199832279461	984130.5067970278	18429.115304189436	965701.3914928369
2.0.32.0	5885.252533951997	947289.0158281337	15629.056337580223	931659.9594905523
2.0.4.0	5645.773009613202	911465.6525144542	13254.429090675216	898211.2234237778
2.0.48.0	5415.499938110322	876680.8723215221	11240.594871829428	865440.2774496914
2.0.56.0	5194.16283342869	842947.0252821186	9532.73597891052	833414.2893032064
2.0.64.0	4981.48546590878	810269.4495488389	8084.363530559788	802185.086018277
2.0.72.0	4777.188679434418	778647.457005808	6856.052012647335	771791.4049931585
2.0.8000000000000003.0	4580.9926998626115	748075.2169491732	5814.36609356318	742260.8508556078
2.0.88.0	4392.6190153452	718542.5445758076	4930.950495651698	713611.5940801537
2.0.96.0	4211.791896799737	690035.6013863184	4181.758148577009	685853.8432377392
3.0.04.0	4038.2396162828077	662537.5147055523	3546.3956145191514	658991.1190910306
3.0.12.0	3871.695412116405	636028.9234248956	3007.567967305905	633021.3554575868
3.0.2.0	3711.898242073215	610488.4568331935	2550.608014777571	607937.8488184134
3.0.2800000000000002.0	3558.5933595334386	585893.1530715498	2163.077049552141	583730.0760219947
3.0.36.0	3411.5327421086786	562218.8233557806	1834.4262604017676	560384.3970953757
