model_name	median_intern	median_extern	failure	n_species	n_reactions	n_submodels	run_0	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16	run_17	run_18	run_19	run_20	run_21	run_22	run_23	run_24
aguda1999	0.011922	0.012122392654418944	False	12	27	1	0.011313999999999998	0.011782000000000004	0.011737000000000004	0.011656	0.011577000000000004	0.011651999999999996	0.011876000000000001	0.011964000000000004	0.012156000000000005	0.012688999999999994	0.012442999999999994	0.012352000000000002	0.012209	0.012110000000000004	0.012004	0.011961000000000005	0.011922	0.012022999999999995	0.012028000000000006	0.011970000000000005	0.011682	0.011749999999999995	0.011691999999999994	0.011696999999999999	0.011627
alexander2010	0.0011906666666666654	0.0013089974721272786	False	5	12	3	0.0011949999999999984	0.001181333333333332	0.0011819999999999988	0.0011869999999999988	0.001189333333333332	0.0011823333333333321	0.0011816666666666653	0.0011826666666666654	0.0011976666666666652	0.0011749999999999987	0.001195333333333332	0.0011839999999999984	0.0011896666666666653	0.0011933333333333325	0.0011999999999999984	0.0011886666666666651	0.0011899999999999984	0.0011936666666666654	0.0011979999999999985	0.001208333333333332	0.0012119999999999985	0.0011936666666666654	0.0011906666666666654	0.0012029999999999983	0.0012069999999999989
alsheihk2011	0.0011650999999999988	0.0012746095657348636	False	5	10	10	0.0011808999999999984	0.0011669999999999983	0.0011665999999999985	0.0011581999999999983	0.0011597999999999984	0.0011653999999999985	0.0011629999999999989	0.0011622999999999985	0.0011635999999999984	0.0011671999999999989	0.001168399999999999	0.0011694999999999989	0.0011675999999999989	0.0011693999999999988	0.001164599999999999	0.0011672999999999987	0.0011616999999999984	0.0011660999999999985	0.0011619999999999988	0.0011607999999999987	0.0011655999999999988	0.0011650999999999988	0.0011577999999999988	0.0011616999999999984	0.0011636999999999984
bachar2004	0.0006070000000000003	0.0007188320159912108	False	4	8	1	0.0006270000000000004	0.0006110000000000003	0.0006100000000000003	0.0006080000000000004	0.0006020000000000003	0.0005970000000000003	0.0006080000000000004	0.0006190000000000003	0.0006200000000000003	0.0006070000000000003	0.0006080000000000004	0.0006030000000000003	0.0006090000000000003	0.0006080000000000004	0.0006090000000000003	0.0006020000000000003	0.0006040000000000003	0.0005990000000000004	0.0006030000000000003	0.0005990000000000004	0.0006060000000000003	0.0006020000000000003	0.0006030000000000003	0.0006130000000000004	0.0006020000000000003
bachmann2011	0.222091	0.22229695320129395	False	26	36	2	0.22404349999999995	0.22098650000000006	0.22385450000000007	0.22187850000000006	0.22157900000000008	0.224656	0.2221495	0.222091	0.223316	0.22268249999999995	0.22210549999999996	0.22187449999999995	0.22115849999999992	0.220826	0.22134900000000005	0.22118650000000006	0.223658	0.22259900000000007	0.22231649999999986	0.223376	0.22147699999999992	0.21997350000000004	0.22441550000000002	0.2215245	0.22096200000000005
bai2003	0.008715000000000002	0.008873462677001953	False	6	12	1	0.008562000000000002	0.008561000000000003	0.008731000000000001	0.008805000000000002	0.008713	0.008683	0.008650999999999999	0.008700999999999999	0.008878000000000004	0.008978999999999997	0.008912999999999999	0.008985000000000003	0.00893	0.008959000000000002	0.008796	0.008700000000000001	0.008728000000000003	0.008819000000000002	0.008714000000000003	0.008696000000000002	0.008737000000000002	0.008715000000000002	0.008689999999999998	0.008711000000000002	0.008685
balagadde2008	0.0019904999999999983	0.00210726261138916	False	7	8	2	0.0020034999999999983	0.0019929999999999987	0.001987499999999998	0.001981999999999998	0.001982499999999998	0.0020139999999999984	0.0019984999999999985	0.0019924999999999977	0.0019824999999999986	0.0019869999999999987	0.0019834999999999983	0.0019904999999999983	0.0019899999999999987	0.0019934999999999983	0.0019819999999999977	0.0019934999999999983	0.001993999999999998	0.001985999999999998	0.001988499999999998	0.001991999999999998	0.0019909999999999984	0.0019864999999999982	0.001984499999999998	0.0019974999999999984	0.0020064999999999983
band2012a	0.0001925000000000001	0.0002942085266113281	False	1	3	2	0.00020900000000000015	0.0001920000000000001	0.00019450000000000012	0.0001925000000000001	0.00019250000000000013	0.00019550000000000012	0.0001925000000000001	0.00018900000000000012	0.00019550000000000012	0.00019350000000000007	0.00019200000000000009	0.00019600000000000013	0.00019050000000000013	0.0001895000000000001	0.0001910000000000001	0.00019600000000000013	0.00019600000000000018	0.00018600000000000013	0.00019600000000000013	0.00019150000000000013	0.00018900000000000012	0.0001880000000000001	0.00019600000000000018	0.00019350000000000012	0.00019000000000000012
becker2010	0.00036550000000000016	0.00046956539154052734	False	6	8	2	0.00038900000000000024	0.0003695000000000002	0.0003630000000000002	0.0003635000000000002	0.0003605000000000002	0.0003650000000000002	0.0003655000000000002	0.0003635000000000002	0.00037000000000000016	0.0003650000000000002	0.0003615000000000002	0.00037500000000000017	0.0003695000000000002	0.0003645000000000002	0.00036600000000000017	0.00036900000000000013	0.0003680000000000002	0.00036550000000000016	0.0003615000000000002	0.0003635000000000002	0.0003650000000000002	0.0003665000000000002	0.0003695000000000002	0.00036600000000000017	0.0003625000000000002
beuke2017			True	33	57	30	"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]"																								
